a$$	a**
sdlc	Software Development Life Cycle
sec	second
secks	sex
secksea	Sexy
secksy	sexy
sed	said
see through your eyes	stye
seg	s**t Eatin Grin
seks	sex
sellin	selling
seo	Search Engine Optimization
serp	search engine results page
sexc	sexy
sexe	sexy
sexi	Sexy
sexii	sexy
sexilicious	Very Sexy
sexx0rz	sex
sez	says
sfam	Sister from another mother
sfe	safe
sfh	So f**king Hot
sfipmp	so funny I peed my pants
sfm	so f**king much
sfr	so f**king random
sfs	so f**king stupid
sfsg	So far so good
sfu	shut the f**k up
sfw	safe for work
sfwuz	safe for work until zoomed
sfy	speak for yourself
sg	so good
sgb	straight/gay/bisexual
sgbadq	Search google before asking dumb questions
sgi	Still got it
sgtm	slightly gigling to myself
sh	s**t happens
shag	f**k
shawty	girl
t#3	the
t,ftfy	there, fixed that for you
t.t.y.l	Talk To You Later
t/a	Try again
t2b	time to blunt
t2m	talk to me
t2u	talking to you
t2ul	talk to you later
t2ul8r	talk to you later
t3h	the
t4a	thanks for asking
t4m	Transgender for Male
t8st	taste
ta	thanks again
taci	that's a crappy idea
tafn	That's all for now
taht	that
tai	think about it
taig	That's all I got. 
tal	thanks a lot
tanq	thank you
tanstaafl	there ain't no such thing as a free lunch
tard	retard
tarfu	things are really f**ked up
tat	that
tat2	tattoo
tau	thinking about you
taunch	te amo un chingo
taw	Teachers are Watching
tay	thinking about you
tb	text back
tb4u	too bad for you
tba	to be anounced
tbc	To be continued
tbd	to be decided
tbf	to be fair
tbfh	to be f**king honest
tbfu	too bad for you
tbh	to be honest
tbhimo	to be honest in my opinion
tbnt	thanks but no thanks
tbp	The Pirate Bay
tbpfh	To be perfectly f**king honest
tbph	To be perfectly honest
tbqf	to be quite frank
tbqh	to be quite honest
tbss	too bad so sad
tbtfh	to be totally freaking honest
tbvh	to be very honest
tc	take care
tcfc	Too Close For Comfort
tcfm	too cool for me
tcg	Trading Card Game
tchbo	Topic creater has been owned
tcial	The cake is a lie
tcoy	take care of yourself
tcp	transmission control protocol
tcp/ip	transmission control protocol/internet protocol
td2m	talk dirty to me
tddup	till death do us part
tdf	To Die For
tdl	Too d**n Lazy
tdtm	Talk Dirty To Me
tdwdtg	The Devil Went Down To Georgia
te	Team effort
teh	the
teotwawki	the end of the world as we know it
terd	s**t
tf2	Team Fortress 2
tfa	the f**king article
tfb	time for bed
tfbundy	totaly f**ked but unfortunatly not dead yet
tfc	Team Fortress Classic
tfd	total f**king disaster
tff	That's f**king Funny
u	you
u iz a 304	you is a hoe
u'd	you would
u'll	you will
u'r	you're
u'v	you have
u've	You've
u/l	upload
u/n	username
u2	You too
u2u	up to you
u4i	up for it
ua	user agreement
uaaaa	Universal Association Against Acronym Abuse
uat	User Acceptance Testing
uayor	Use At Your Own Risk
ub3r	super
uber	over
uctaodnt	you can't teach an old dog new tricks
udc	you don't care
udek	you don't even know
uds	you dumb s**t
udwk	you don't want to know
udy	you done yet
ufab	ugly fat a** b***h
ufia	unsolicited finger in the anus
ufic	Unsolicited Finger in Chili
ufmf	you funny mother f**ker
ufr	Upon further review
ugba	you gay b***h a**
ugtr	you got that right
uhab	you have a blog
uhems	you hardly ever make sense
ui	User Interface
ujds	u just did s**t
ukr	You know right
ukwim	you know what i mean
ul	unlucky
ulbom	you looked better on myspace
umfriend	sexual partner
un2bo	you need to back off
un4rtun8ly	unfortunately
unt	until next time
uom	You owe me
upcia	unsolicited pool cue in anus
upia	unsolicited pencil in anus
upmo	You piss me off
upos	you piece of s**t
upw	unidentified party wound
ur	your
ur2g	you are too good
ur6c	you're sexy
ura	you are a
uradrk	you're a dork
urafb	you are a f**king b***h
uraqt	you are a cutie
urcrzy	you are crazy
ure	you are
urg	you are gay
urht	you're hot
url8	you are late
urms	you rock my socks
urmw	you are my world
urnc	you are not cool
urs	yours
ursab	you are such a b***h
ursdf	you are so d**n fine
ursg	you are so gay
ursh	you are so hot
urssb	you are so sexy baby
urstpid	you are stupid
urstu	you are stupid
urtb	you are the best
urtbitw	You are the best in the world!
urtrd	you retard
urtw	you are the worst
v4g1n4	vagina
vag	vagina
vajayjay	vagina
vb	visual basic
vbeg	very big evil grin
vbg	very big grin
vf	very funny
vfe	Virgins 4 ever
vff	Verry f**king Funny
vfm	value for money
vgg	very good game
vgh	Very good hand
vgl	very good looking
vgn	Video Game Nerd
vid	Video
vids	Videos
vip	very important person
vleo	Very Low Earth Orbit
vlog	video log
vn	very nice
vnc	Virtual Network Computing
vnh	Very nice hand
voip	voice over ip
vrsty	Varsity
vry	very
vwd	very well done
vweg	very wicked evil grin
vzit	visit
vzn	verizon
w'sup	what's up
w.b.s.	Write Back Soon
w.e	Whatever
w.e.	whatever
w.o.w	World of Warcraft
w.o.w.	world of warcraft
w/	with
w/b	write back
w/e	whatever
w/end	weekend
w/eva	whatever
w/o	with out
w/out	without
w/u	with you
w00t	woohoo
w012d	word
w2d	what to do
w2f	want to f**k
w2g	Way to go
w2ho	want to hang out
w2m	want to meet
w33d	weed
w8	wait
w8am	wait a minute
w8ing	waiting
w8t4me	wait for me
w8ter	waiter
w911	Wife in room
wab	what a b***h
wad	without a doubt
wad ^	what's up?
wadr	with all due respect
wadzup	What's up?
waf	weird as f**k
wafda	What a f**king Dumb a**
wafl	what a f**king loser
wafm	wait a f**king minute
wafn	what a f**ken noob
wai	what an idiot
waloc	what a load of crap
walstib	what a long strange trip it's been
wam	wait a minute
wamh	with all my heart
wan2tlk	Want to talk
wana	want to
wanafuk	wanna f**k
wanker	masturbater
wanking	Masturbating
wanna	want to
wansta	wanna be ganster
warez	illegally obtained software
wassup	what's up?
wasup	What's Up
was^	What's Up
wat	what
wat's^	Whats Up
watcha	what are you
watev	whatever
wateva	whatever 
watevr	whatever
watevs	whatever
wats	whats
wats ^	whats up
wats^	what's up?
watz ^	What's up
wau	what about you
waug	Where are you going
wauw	what are you wearing
wau^2	what are you up to?
waw	what a w***e
waycb	when are you coming back
wayd	what are you doing
waygow	who are you going out with
wayh	why are you here
wayn	Where Are You Now
waysttm	why are you still talking to me
waysw	Why are you so weird
wayt	What are you thinking?
x treme	extreme
xb36t	Xbox 360
xbf	ex-boyfriend
xbl	xbox live
xcept	except
xcpt	except
xd	extreme droll
xellent	excellent
xfer	transfer
xgf	exgirlfriend
xing	crossing
xit	Exit
xl	extra large
xlnt	Excellent
xmas	christmas
xmpl	example
xoac	Christ on a crutch
xor	hacker
xover	crossover
xox	hugs and kisses
xoxo	hugs and kisses
xp	experience
xpect	expect
xplaned	explained
xpt	except
xroads	crossroads
xs	excess
xtc	ecstasy
xtra	extra
xtreme	extreme
xyz	examine your zipper
xyzpdq	Examine Your Zipper Pretty Darn Quick
y	why
y w	you're welcome
y!a	yahoo answers
y'all	you all
y/n	yes or no
y/o	Years Old
y00	you
y2b	Youtube
y2k	year 2000
ya	yeah
yaaf	you are a f**
yaafm	You Are A f**king Moron
yaagf	you are a good friend
yaai	You are an idiot
yaf	you're a f**
yafi	you're a f**king  idiot
yag	you are gay
yall	you all
yapa	yet another pointless acronym
yaqw	You are quite welcome
yarly	yeah really
yas	you are stupid
yasan	You are such a nerd
yasf	you are so funny
yasfg	you are so f**king gay
yasg	you are so gay
yasw	you are so weird
yatb	you are the best
yatwl	you are the weakest link
yaw	you are welcome
yayo	cocaine
ybbg	Your Brother By Grace
ybs	you'll be sorry
ybya	you bet your a**
ycliu	You could look it up
ycmtsu	You Can't Make This s**t Up
ycntu	Why Cant You?
yctwuw	you can think what you want
ydpos	you dumb piece of s**t
ydtm	You're dead to me
ydufc	Why do f**king care?
yduwtk	why do you want to know
ye	yeah
yea	yeah
yer	you're
yermom	your mother
yesh	yes
yew	you
yfb	you f**king b*****d
yfg	you're f**king gay
yfi	you f**king idiot
ygg	you go girl
ygm	You Got Mail
ygp	you got  punked!
ygpm	you've got a private message
ygrr	you got rick rolled
ygtbfkm	you've got to be f**king kidding me
ygtbk	you've got to be kidding
ygtbkm	you got to be kidding me
ygtbsm	You've got to be shitting me
ygtsr	you got that s**t right
yh	yeah
yhbt	you've been trolled
yhew	you
yhf	you have failed
yhgtbsm	You Have Got To Be Shitting Me
yhl	you have lost
yhm	You have mail
yhpm	you have a private messge
yhtbt	You Had To Be There
yid	yes, I do
yim	yahoo instant messenger
yiwtgo	Yes, I want to go private
yk	you kidding
yki	You know it
ykisa	Your knight in shining armor
z'omg	Oh my God
z0mg	oh my god
zex	sex
zh	Zero Hour
zig	cigarette
zomfg	oh my f**king god
zomg	Oh my God
zomgzorrz	oh my god
zoot	woohoo
zot	Zero Tolerance
zt	zoo tycoon
zup	what's up?
